Name,Minimum Age,Maximum Age,Gender,Address,Region,Description,Application Requirements/Restrictions (if any),Website,Phone,Email,Valid As Of,Latitude,Longitude,Mental Health Services,Medical Health Services,Public Housing,Intimate Partner Violence,Developmental/Intellectual Disabilities Services,Child Welfare,Cash and Food Benefits,Shelter Assistance,Family Support Services,Adjudicated Adolescents,LGBTQ Resources,Mentoring,Case Management,Academic Support,Job Opportunities/Training,Community Service/Outreach,Substance Abuse Treatment Residential,Substance Abuse Treatment Outpatient,Legal Support
ROCA- High Risk Young Mothers ,16,24,Female,"101 Park Street Chelsea, MA 02150",Suffolk,"Education: HiSET/GED classes, taught in a flexible curriculum, in 1-on-1 sessions or in small groups. All classes are adapted to participants’ level and learning disabilities, including basic literacy classes if needed. ESL classes are offered.

Life Skills: Cognitive Behavioral Theory (CBT) curriculum in collaboration with Community Psychiatry PRIDE Clinic at Massachusetts General Hospital/Harvard Medical School. Our CBT curriculum addresses the specific needs of high-risk young adults, teaching them how to “think different to act different”. CBT allows our young people to develop emotional literacy and overcome behavioral barriers so they can build skills and live fuller lives. The curriculum consists of 10 skills, deliverable in classrooms, in the car, on the street, or wherever the need arises, through short sessions of up to 30-45 minutes. In addition to CBT, life skills programming includes substance abuse groups, healthy habits classes and parenting classes.

Employment: The key piece of Roca’s employment programming is a Transitional Employment Program, in which participants join Roca’s work crews and earn real wages while learning basic work skills. In addition, Roca offers workforce readiness curriculum, pre-vocational training and job placement and retention services. Most of Roca’s young people have no employment history and criminal records, factors which limit their employment opportunities considerably, so job readiness and placement are crucial to participant’s success.

Duration: 2 years",,http://rocainc.org/work/young-mothers-program/,(617) 889-5210,youngmothers@rocainc.com ,2018-03-26,42.389556,-71.037937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ROCA- High Risk Young Men (Chelsea),17,24,Male,"101 Park Street
Chelsea, MA 02150",Suffolk,"Education: HiSET/GED classes, taught in a flexible curriculum, in 1-on-1 sessions or in small groups. All classes are adapted to participants’ level and learning disabilities, including basic literacy classes if needed. ESL classes are offered.

Life Skills: Cognitive Behavioral Theory (CBT) curriculum in collaboration with Community Psychiatry PRIDE Clinic at Massachusetts General Hospital/Harvard Medical School. Our CBT curriculum addresses the specific needs of high-risk young adults, teaching them how to “think different to act different”. CBT allows our young people to develop emotional literacy and overcome behavioral barriers so they can build skills and live fuller lives. The curriculum consists of 10 skills, deliverable in classrooms, in the car, on the street, or wherever the need arises, through short sessions of up to 30-45 minutes. In addition to CBT, life skills programming includes substance abuse groups, healthy habits classes and parenting classes.

Employment: The key piece of Roca’s employment programming is a Transitional Employment Program, in which participants join Roca’s work crews and earn real wages while learning basic work skills. In addition, Roca offers workforce readiness curriculum, pre-vocational training and job placement and retention services. Most of Roca’s young people have no employment history and criminal records, factors which limit their employment opportunities considerably, so job readiness and placement are crucial to participant’s success.

Duration: 2 years",,http://rocainc.org/work/young-men-program/,(617) 889-5210,chelsea@rocainc.com ,2018-03-26,42.389556,-71.037937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
STRIVE Boston,18,100,All,"651 Washington Street
Dorchester, MA 02124",Berkshire,"Includes job opportunity/training and case management.

1. Attitudinal and Job Readiness (an intensive five-week CORE ""soft skills"" training on workplace readiness, responsibility and professionalism), 2. Skills Training (CORE graduates choose from among five vocational pathways), 3. Support Services (intensive case management helps participants address obstacles to development and success), 4. Job Placement (Placement Specialists foster employer relationships, and help graduates secure positions that match skills and interests) and 5. Follow-up (Graduates receive two years of retention services and formal follow-up, but are always welcome to return to STRIVE).

Duration: 2 years.",,https://jri.org/services/community/strive,(617) 825-1800,epowell@jri.org,2018-03-26,42.288926,-71.071447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Bird Street Community Center,10,22,All,"500 Columbia Road
Dorchester, MA 02125",Hampden,"Includes job opportunity/training, academic support, and case management

Provides high quality after school programs for children ages 5-13 and youth ages 10-22. We serve more than 1300 youth who primarily reside in Dorchester, Roxbury, Mattapan, Hyde Park and Jamaica Plain.  Our Center provides all of the wrap around services that develop well-rounded, healthy children, youth and young adults, including:  academic support, leadership training and experience, workforce development and employment, arts & humanities, life skills, community service, violence prevention, case management, recreation and organized sports.  We encourage and promote intellectual, physical, personal, and social/emotional development.

Bird Street Community Center is the ""hub"" for children and youth who seek intellectual, physical, emotional, and personal growth and well being. Courts, social service agencies, schools and families trust Bird Street to help the community's low income/high risk children achieve important life goals and grow into young adults who are community change makers and leaders. Bird Street is a major provider of intentional programming for out-of-school and after school activities. Generations of children have found a safe and caring place for growing and developing character and skills.",,https://www.birdstreet.org/about-us,(617) 282-6110,dwoodson@birdstreet.org,2018-03-26,42.314753,-71.067651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Teen Visionaries- Brookview,6,19,All,"2 Brookview Street
Dorchester Center, MA",Hampden,"Includes case management, academic support, counseling, and job training.

Teens in our program are resilient and motivated to change their lives and their communities. They are bright, caring enthusiastic young people who, when given the opportunity, show incredible ambition tempered with compassion that knows no bounds. They view their circumstance as temporary and are determined to persevere through a myriad of challenges.

Teen Visionaries is a program that prepares youth for life and work by helping them develop a new vision for their lives. The focus is on improving academics and behavioral health. Case management links the youth and their families to schools and services. Advocacy ensures each teen receives all necessary services. The objective is to address social, emotional and cognitive factors; develop leadership and job readiness skills; and empower teens by helping them develop skills to recognize and address unhealthy behaviors and relationships.

Spread the Word is a civic engagement campaign developed in collaboration with the Boston Public Health Commission to de-stigmatize and de-mystify mental health, substance abuse, and other public health issues in communities of color. Youth Councils lead the project and set the tone. Teen Visionaries is responsible for program design, outreach, recruitment, planning, developing products, training and facilitation. Teens also conduct community surveys, make presentations and facilitate discussions in the schools.",,https://brookviewhouse.org/youth-development-2/,(617) 265-2965,,2018-03-26,42.288475,-71.090538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
University High School,16,22,All,"575 Warren Street
Dorchester, MA 02121",Worcester,"Boston students age 16 to 22 and at minimum repeating 10th grade who have fallen behind at least one grade level in traditional high school settings or have left high school without completing their diploma requirements.

You’ve faced very real barriers to success in school. Enroll at University High School where We RISE! Through Resilience, Integrity, Scholarship, and Empowerment, you, like all UHS students, can graduate with a high school diploma, an educational plan, knowledge, skills, and the support to achieve your goals as a lifelong learner, in education, your career, and civic participation.

Students engage through hybrid learning models. Because we meet you where you are in your learning, you’re able to access the curriculum through challenging and relevant content, experiential education, community service experiences, work-study opportunities, and project-based and capstone assessments.

We work in partnership with the Boston Public Schools – Boston Collaborative High School, and we concentrate on core requirements and MCAS test preparation using project-based assignments that ultimately contribute to a portfolio of work that shows what you know.

Custom tailored learning plans and scheduling support the achievement of your goals for high school and beyond. We also provide opportunities outside the classroom to encourage lifelong learning. Our professional faculty and staff help you explore higher education options and potential careers, in addition to connecting you to resources that will help you with your educational and occupational interests.",Income Eligible Only,https://bostonabcd.org/service/university-high-school/,(617) 348-6510,,2018-03-26,42.312143,-71.083483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
STRIVE- Strive Forward Juvenile Justice Initiative,16,24,All,"651 Washington Street
Dorchester, MA 02124",Berkshire,"Includes job opportunity/training and case management.

1. Attitudinal and Job Readiness (an intensive five-week CORE ""soft skills"" training on workplace readiness, responsibility and professionalism), 2. Skills Training (CORE graduates choose from among five vocational pathways), 3. Support Services (intensive case management helps participants address obstacles to development and success), 4. Job Placement (Placement Specialists foster employer relationships, and help graduates secure positions that match skills and interests) and 5. Follow-up (Graduates receive two years of retention services and formal follow-up, but are always welcome to return to STRIVE).

Duration: 5 weeks-6 months; Monday-Friday",,https://jri.org/services/community/strive,(617) 825-1800,epowell@jri.org,2018-03-26,42.288926,-71.071447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Bridging the Gap- Salvation Army,12,17,All,"650 Dudley Street
Boston, MA 02125",Worcester,"The curriculum includes topics such as building self-esteem; how to deal with peer pressure; anger management and decision making; communication skills; relationships with family members, friends, figures of authority; culture and diversity; violence and gangs; the effects of drugs and alcohol, job seeking and financial planning, legal issues and ethics. Teens also learn about the resources available in their community. A Christian attitude underlies everything we do.

Duration: 3:30-6:00pm Tu, We, Th; 10-12 weeks",,http://massachusetts.salvationarmy.org/MA/BridgingtheGap,(617) 318-6916,Jovan.Zuniga@use.SalvationArmy.org,2018-03-26,42.319544,-71.07018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Teen Empowerment-Dorchester,14,21,All,"21 Balfour Street Dorchester, MA 02125",Hampden,"The Center for Teen Empowerment, Inc. helps low-income, urban youth hone their understanding of the social problems they face and use their talents and skills to create change in their own lives and in their communities. Working in Boston and Somerville, MA and Rochester, NY, TE employs youth ages 14 to 21 as the leaders of social change initiatives that positively influence the values and behaviors of their peers with the goal of lowering crime, violence, and self-destructive behaviors. Youth-led initiatives engage thousands of youth and adults in community improvement efforts each year and lend their voices and lived experience to the debate about policies that affect their lives. ",,http://teenempowerment.org,(617) 427-1488,hannah@teenempowerment.org,2018-03-26,42.314975,-71.075915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Saturday Girls Group- Brookview,6,19,Female,"2 Brookview Street
Dorchester Center, MA",Hampden,"Our Girls Group — ‘Self-Sufficient Girls 2 Self-Sufficient Women’— provides a safe space for girls to discuss issues that impact them in unique ways. The group is designed specifically for girls who studies predict, are at the highest risk of becoming homeless adults.

Our priority is to create avenues to raise girls’ self respect and self-esteem and reduce vulnerability to high-risk behavior. Graduate level Clinical Interns develop curricula, facilitate life skills workshops and provide individual counseling.

Our objectives:Develop and strengthen girls’ emotional health; Prepare girls academically; Give girls tools they need to advocate for themselves and serve as role models; Involve girls in positive aspects of the community.",,https://brookviewhouse.org/youth-development-2/,(617) 265-2965,,2018-03-26,42.288475,-71.090538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Kroc Center- Salvation Army,14,100,All,"650 Dudley Street
Boston, MA 02125",Worcester,"The spirit of volunteerism is alive and well at The Kroc Center. As our community center continues to grow, rewarding volunteer opportunities will continue to evolve.

Kroc volunteers are held to the same standards as Kroc employees including application, background check, Child Safe training, and orientation. Volunteers coach, clean, help with special events and much more.

Boston and its surrounding communities are rich in resources, including professionals, retirees, families and singles who have skills to share and a passion to serve. If you have a special skill or passion-whether it's a knack for playing the piano or an affinity for data entry-or if you simply want to help others, we would love to hear from you. As opportunities become available, we will contact you.      

The Kroc Center relies on more than its paid staff to meet the mission of Joan Kroc. Mrs. Kroc was clear in her intent: to be a place where children can learn from one another, individuals can seek personal growth and development, and a place for the community to gather in leisure and fellowship in an environment that embraces the love and acceptance that Jesus Christ teaches us.
",,http://bostonkroc.salvationarmy.org/BostonKroc/Volunteer,(617) 318-6920,,2018-03-26,42.319544,-71.07018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The People's Academy,17,100,All,"8 Sumner Park,
Boston, MA 02125",Suffolk,"The mission of The People’s Academy is to empower Boston’s inner-city, at risk residents, by training them in the trade of fabrication and installation of metal, specializing in copper.  The People’s Academy aims to provide viable employment opportunities for disenfranchised youth with a commitment to self-sufficiency and neighborhood/community improvement.
​
TPA’s mission is to provide opportunities for training and mentoring to men, women and at risks youth in the inner city, making them employable. To increase students’ sense of ownership and pride in their community. 

To improve the neighborhoods in which those students reside by providing low cost, high quality services to local home and business owners that will enhance the value of their properties. 

To build a greater sense of community and interconnectedness by training students within their own neighborhoods with the end result of the rehabilitation and renewal of inner city neighborhoods.",,https://www.peoplesacademyinc.org,(617) 571-7244,tm.thomas@peoplesacademyinc.org,2018-03-26,42.316665,-71.063078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mission SAFE- Youth Leadership Service Corp.,0,18,All,"18 John Elliot Square
Roxbury, MA 02119",,"Includes job training, academic support, and community outreach.

Goal: to provide job-readiness training, career exploration and internships.
​
Outcomes: create a resume, develop interview & job readiness skills; learn about careers through job shadowing and guided research; gain work experience through internship placements; identify potential career pathways.

Duration: 3:00-6:00pm Monday-Friday.",,http://www.missionsafe.org/youth-leadership-service-corps,(617) 427-0377,nikki.flionis@missionsafe.org,2018-03-26,42.329634,-71.090406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Youth Build- Building Trades Exploration ,16,24,All,"27 Centre Street,  Roxbury, MA 02119",,"Program participants gain exposure to the fields of carpentry, plumbing, electrical, landscaping, and facilities maintenance while earning their HiSET.
All Participants Receive: A Bi-Weekly Stipend; OSHA 10 Certification; Lead Safe Certification; First Aid/CPR Certification; 2A/1C Hoisting Training; Signal Rigger Certification.
Successful participants are eligible for dual enrollment at local community colleges and can move on to advanced training or entry-level jobs in the field.

Duration: 6-9 months.",,http://www.youthbuildboston.org/new-programs/,(617) 445-8887,,2018-03-26,42.32988,-71.093176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Sociedad Latina,11,21,All,"1530 Tremont Street Roxbury, MA 02120",,"Since 1968, Sociedad Latina has been working in collaboration with Latino youth and their families to end the destructive cycle of poverty, inequality in access to health services, and lack of educational and professional opportunities in our community. Through our Pathways to Success model, we take the initiative by introducing new and innovative solutions to the most critical problems facing young Latinos today with a focus that celebrates our Latin heritage and enables young people to forge identities with deep roots in our Latin culture. Our model supports the positive development of young people from 11 to 21 years of age, creating a community that values young people and enables them to be the defenders of their rights and those of their community.

Each year, Sociedad Latina serves 5,000 young people and adults. A thousand of these young people, from 11 to 21 years of age, participate intensively with Sociedad Latina through our integral and coordinated daily programming designed to train them in four areas that our community has identified as those that need the most support: Education, Work Readiness, Civic Engagement, and Arts and Culture. Programs promote long-term participation, positive interactions with adults, and cultural pride, giving youth an extensive support network that enables them to develop as competent, self-confident, successful, and independent adults.",,https://www.sociedadlatina.org,(617) 442-4299,,2018-03-26,42.332508,-71.100649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Building Pathways- Pre-Apprentice Program,18,100,All,"2201 Washington Street Roxbury, MA 02119",Berkshire,"Need a high school equivalent degree.

Through six weeks (Monday – Friday from 7:00 am to 3:30 pm) of Career Readiness and Occupational Skills Training, with classroom and hands-on learning experiences, Building Pathways will provide you with the knowledge and skills you need to enter and succeed in a registered union apprenticeship program. You will also receive coordinated case management and placement services to help you achieve their career goals. Once placed in a quality apprenticeship program, you will gain on-the-job training, while earning good wages and benefits, and receive continued support services from us.

Why does our pre-apprenticeship training work?

It’s a path to real construction jobs. We’re training individuals who will become the best apprentices, and in turn, the best trades people the unionized construction industry has to offer.
We’re providing an opportunity for long-term, skilled careers.
Our program is recognized as the only union-based apprenticeship preparedness program in Boston. Our pre-apprenticeship training has been nationally recognized as one of the best in the United States.",,https://buildingpathwaysboston.org/programs/,(617) 238-5292,info@buildingpathwaysboston.org,2018-03-26,42.331157,-71.083206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Roxbury Youthworks,0,22,All,"841 Parker Street 
Roxbury Crossing, MA 02120",,"Includes counseling and alternative education.

(RYI) is a community-based non-profit organization. Our mission is to help youth caught in cycles of poverty, victimization, and violence to transition successfully to adulthood.

RYI first started to help decrease recidivism among young men and women from the Roxbury District Court. Today we serve youth up to 22 years of age in Boston's juvenile justice or child welfare system with innovative supportive programs.

1.	Stabilize and reintegrate youth into the community coming out of court-ordered detention and treatment facilities.
2.	Address the multiple needs of young people who have been commercially sexually exploited.
3.	Work with law enforcement, child-serving public agencies and other non-profits to end the commercial sexual exploitation of children through public awareness campaigns and passing of legislations.
4.	Prevent youth and their families from becoming further system involved ie: keeping youth with their own families and reuniting them whenever possible.
5.	Assist youth in achieving their goals through educational advocacy and support, enhancing their job readiness and finding them employment opportunities.
6.	Provide basic needs assistance such as food, clothing, hygienic products and a safe place to gather.
7.	Teach clients how to be active and engaged community leaders while finding opportunities for them to apply these skills.",,http://www.roxburyyouthworks.org/pages/about.html,(617) 989-8703,ctoledo@roxburyyouthworks.org,2018-03-26,42.327604,-71.099961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Roxbury Youthworks- GIFT,12,21,Female,"841 Parker Street 
Roxbury Crossing, MA 02120",,"Includes counseling and leadership opportunities.

This program is for girls involved with the Department of Children and Families (DCF). Through intensive individual mentoring, weekly psychosocial support groups, enrichment activities and leadership opportunities, our seven (7) Life Coaches aid the girls in their recovery from exploitation or work to prevent them from entering an exploitive relationship.

Life Coaches support and guide participants throughout their recovery from commercial sexual exploitation. They provide counseling, crisis intervention, two individual face to face meetings per week, a weekly group, daily contact through texts or by phone, and referrals to the resources they need in order to achieve their life goals.

Duration: 2 meetings/week",,http://www.roxburyyouthworks.org/pages/giftprogram.html,(617) 427-8095,ctoledo@roxburyyouthworks.org,2018-03-26,42.327604,-71.099961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Youth Build- Pre-Apprentice,18,24,All,"27 Centre Street,  Roxbury, MA 02119",,"Participants who already have their high school diploma or equivalent, and are interested in starting a career in the building trades. Students gain field experience on real construction sites to ensure that they are ready for employment in the field upon graduation.
All Participants Receive: A Bi-Weekly Stipend; OSHA 10 Certification; Lead Safe Certification; First Aid/CPR Certification; 2A/1C Hoisting Training; Signal Rigger Certification.
Successful graduates apply to union apprenticeship programs or gain entry level placements in the building trades.

Duration: 12 weeks",,http://www.youthbuildboston.org/new-programs/,(617) 445-8887,,2018-03-26,42.32988,-71.093176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Youth Options Unlimited (YOU),14,24,All,"7 Palmer Street Roxbury, MA 02119",Hampden,"Includes job training, case management, intervention, and educational support.

At YOU Boston we endeavor to change the lives of teens and young adults. Through working with us, youth take actionable steps toward a better future.

We do not give up on a young person and work tirelessly to find the right combination of services and interventions to ensure they do not give up on themselves. We use a comprehensive service team model in collaboration with the young person.

YOU Boston provides a positive social environment for young people to develop and access professional and academic networks. Such resources can be unattainable due to a variety of family and individual risk factors.

Annually we provide services to over 300 youth referred by partner organizations and community members. Young people have access to multiple services at YOU Boston, including intensive case management, educational support and placement, transitional jobs, and assistance with private sector and training placements.

How long a young person is in YOU Boston programming depends on what their particular needs for service are. We have three levels of subsidized employment. Subsidized job placements running throughout the year, with most youth moving through these levels from anywhere to a couple of months to a year. Youth placed in job placements typically work Monday through Thursday for a total of 12 hours a week.  Every youth is also assigned to a case manager, and  the amount of time they meet, again, just depends on the young person's needs. Some youth meet with their case manager once a week where others would not need to meet more than once a month or longer. At minimum every youth would meet with their case manager at least once every 3 months to check in on how their doing and where they are at in making progress towards their outlined goals.

Duration: Monday- Thursday; 12 hours/week",Meeting by appointment only,http://www.youboston.org,(617) 541-2600,,2018-03-26,42.330395,-71.082699,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
RFK- High Risk Youth Network (HRYN),,,All,"160 Warren Street  Roxbury, MA 02119",Worcester,"Includes helping high risk youths and community outreach.

A program of RFK Children’s Action Corps, the High Risk Youth Network (HRYN) is a resource for organizations and providers serving youth at high risk in the City of Boston.
Growing up is challenging work for all young people. However, some of our youth must overcome almost insurmountable obstacles including violence, drugs, raising children, difficulty with parents, homelessness, struggling in school or dropping out, joblessness, unemployment, etc. These youth at high risk need our help to become all they were meant to be.

At HRYN, we highlight promising practices from providers throughout the city of Boston who work with youth at high risk by addressing the ecological barriers to their success. This information is designed to help providers strengthen connections, collaborations and communities.",,https://www.rfkchildren.org/our-work/community-based-services/hryn/,(978) 423-8410,,2018-03-26,42.325397,-71.082792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Boston GLASS (Gay and Lesbian Adolescent Social Services),13,25,All,"75 Amory Street
Boston, MA 02119",Suffolk,"Our continuum of services model aims to address a young person's immediate needs, equip them with tools to make healthy decisions and live fulfilling lives, and help create communities in which they can thrive.

Let's start with our space... We operate a Drop-In Community Center for LGBTQ+ youth of color between the ages of 13–25, Monday through Friday. Programming includes support groups, educational workshops, social events, access to computers and internet, food, toiletries, clothes, games, and more!

And our people... The GLASS team is the best! We are a diverse group of people, representing various identities, races, ethnicities, and interests, and all committed to the youth we serve. You'll find us in the Drop-in Center every single day!

Youth can come to Boston GLASS to access a peer community, educational opportunities, field trips and social events, one-on-one mentorship, and leadership and employment opportunities. We employ youth leaders to conduct public health work with us, and if a position isn't available, youth can join our advisory board or participate in short-term projects.",,https://jri.org/services/health-and-housing/health/boston-glass,(857) 399-1920,mtamanaha@jri.org ,2018-03-26,42.320675,-71.099733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
MissionSAFE- Futures ,18,24,All,"18 John Elliot Square
Roxbury, MA 02119",,"Includes job training, counseling, and one-on-one case management.

Unemployed young adults who have ""stalled"", or dropped out of school through a comprehensive, holistic approach to addressing youth violence, chronic complex trauma, school truancy and related challenges. This is often an individualized approach, depending on each participant’s needs, assets and circumstances.
​
Futures is a social, intervention and prevention program because we not only help youth navigate violent situations but also work to prevent violent acts from occurring in the first place. 
​
As participants demonstrate success in the program we connect youth with job training, stipend internships, educational pathways and more – and support them along the way.

Duration: 3 nights/week.",,http://www.missionsafe.org/futures,(617) 427-0377,nikki.flionis@missionsafe.org,2018-03-26,42.329634,-71.090406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Boston Career Link,18,100,All,"1010 Harrison Ave. Boston, MA 02119",Suffolk,"Boston Career Link is a one-stop career center offering universal access to a broad range of career counseling services, career resources, workshops, career fairs, and special programs to connect job seekers looking to advance or change careers with employers.

Boston Career Link is part of the network of career centers throughout the Commonwealth of Massachusetts that forms the foundation of the state’s delivery system for employment and training services for job seekers, employers, and their workers.

Boston Career Link’s mission is to provide state-of-the-art services that successfully connect business and job seekers of Greater Boston. Boston Career Link is operated by and co-located at Morgan Memorial Goodwill Industries and chartered by the Private Industry Council.

Boston Career Link has a multi-lingual staff.",,https://www.bostoncareerlink.org/index.php?option=com_content&view=article&id=1&Itemid=2,(617) 541-1400,bostoncareerlink@bostoncareerlink.org,2018-03-26,42.330865,-71.079945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
The SPOT- Young Adult Team,18,25,All,"76 Amory Street
Roxbury, MA 02119",,"Our community clinic provides services to young adults ages 18-25 who are eligible for DMH services. Our goals are to develop independent life skills, identify and access educational, job, and housing resources, and improve communication and coping skills.

Many of the people who engage our services struggle with emotional and/or behavioral difficulties (EBD) that have disrupted their school, work, residential, and relationship lives. If you are experiencing these challenges and receive services from the Commonwealth of MA Department of Mental Health, we can help!

Offers training opportunities for residents and interns in psychiatry, psychology, social work and counseling.

Our Services: Medication Management; Intensive Case Coordination; Individual Counseling and Treatment Planning; Group Support and Counseling; Family Support; Peer Support and Leadership Training; Substance Abuse Treatment.",,http://www.spotonline.org/programs/yat,Tobin.Rodriguez@massmail.state.ma.us 617-652-9043,,2018-03-26,42.320398,-71.099223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bikes Not Bombs -Earn A Bike,12,18,All,"284 Amory Street Jamaica Plain, MA 02130",,"Duration: 6-weeks; Monday-Thursday from 4pm to 7pm.

Program cost is $25-$50 sliding scale - you decide how much you can pay. 
Earn-A-Bike is a learning and earning bicycle program. Over the course of the six-week program, participants will completely overhaul a bicycle while learning how to safely ride and navigate the city of Boston. During mechanics lessons, participants will be taught how to repair a part of the bicycle; then they’ll roll up their sleeves and do it themselves. On group bike rides, participants will learn the ins and outs of Boston’s system of bike lanes and paths, riding to and from parks, basketball courts and local businesses.

There are no lectures in Earn-A-Bike: you pick out a bike (choose from mountain, road, or BMX bikes), you learn how to rebuild it, and then you get to keep it! (as long as you’ve earned enough credits, that is)

To qualify for enrollment, BOTH the application (filled out) and payment (cash, check or money order) need to be submitted. Program cost is $25-$50 sliding scale - you decide how much you can pay. If you are unable to afford any class fee, you can submit a fee waiver request instead of payment, and this will not affect whether or not you are accepted to the course. If you are not accepted into the program for any reason, you will be notified and your program fee will be returned.",,https://bikesnotbombs.org/earn-a-bike,(617) 522-0222,elijah@bikesnotbombs.org,2018-03-26,42.314727,-71.104549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Strong Women, Strong Girls",3rd grade,5th grade,Female,"555 Amory Street Jamaica Plain, MA 02130",,"We are reinventing mentoring with 10 years of proven results to shore up strength in girls from under-resourced communities by surrounding them with a community of strong women.

Our Mission:
Strong Women, Strong Girls empowers girls to imagine a broader future through a curriculum grounded on female role models delivered by college women mentors, who are themselves mentored by professional women.

We serve girls in under-served communities, from 3rd through 5th grade, engaging them in small, structured, curriculum-based group mentoring each week, to: Introduce them to colleges and careers; Help increase self confidence; Build strong leadership skills; Build a safe, strong female community around each of them.",,http://swsg.org/about-us/,(617) 459-1500,kjohnson@swsg.org ,2018-03-26,42.308593,-71.107994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
